Date,INDUSINDBK.NS,HCLTECH.NS,LT.NS,POWERGRID.NS,TCS.NS,ONGC.NS,NTPC.NS,SBIN.NS,HDFCBANK.NS,WIPRO.NS,TITAN.NS,ICICIBANK.NS,BAJFINANCE.NS,KOTAKBANK.NS,RELIANCE.NS,ULTRACEMCO.NS,MARUTI.NS,TECHM.NS,TATASTEEL.NS,AXISBANK.NS,INFY.NS,ITC.NS,ADANIPORTS.NS,BHARTIARTL.NS,HINDUNILVR.NS,ASIANPAINT.NS,SUNPHARMA.NS,GRASIM.NS,JSWSTEEL.NS,TATAMOTORS.NS
2019-01-01,4043870,717468,786846,3961625,1094883,4496586,4011082,11837127,6373440,4036542,2064502,7759872,9178720,6012900,9746670,92921,625360,815535,41281730,12179223,2943390,2586466,1233249,6117146,807345,664707,8487116,465132,3622654,
2019-01-02,1164974,2270096,2058504,7876559,2100463,17436694,5201079,25559853,8134232,8822139,2672587,18243156,13049150,8568385,15628818,143828,891844,2576769,117473500,12386281,7416655,10316782,1506543,6218991,1598707,1233780,9656878,825079,8855139,
2019-01-03,958038,2809224,2290756,7942863,2611668,26599483,7035283,17548347,12771664,9446080,3292918,12884409,12824780,9129440,16288287,223538,715168,3558015,135329440,13228602,6827249,6350450,1902063,6230813,1182624,1636293,9479511,963393,10003388,
2019-01-04,1868151,3077278,2711485,4017540,4280862,7395898,7988112,19514041,7287120,6414073,2340304,22896026,10510210,7343980,18516544,220079,774445,3926171,104800720,8381367,7889310,8105747,1669709,11361086,1454134,1202397,6228693,1073253,6070751,
2019-01-07,3991996,2344752,1851513,3592512,1856423,12700566,14121843,14579399,5387012,5076276,5337211,12719847,10243280,6057280,12060290,220371,687845,1885000,84067870,11735286,8046340,10133320,1260331,5511088,909032,1074373,4118235,1075850,7041362,
2019-01-08,1479592,3031576,1437271,3990870,1691756,6163846,6656692,22949961,8343460,5559089,2039160,21501136,12333790,8307640,12304389,271012,516841,1300906,62697060,11879875,8621545,7768619,2154121,7194973,1262707,1232440,12368631,1027800,4528899,
2019-01-09,6447772,2471720,1413005,4087529,2414376,4951441,4636543,21109911,8568628,10474346,2115974,21730142,10939920,8238110,12614237,248627,740580,2183998,126966600,18003387,18130292,12651287,1166498,8018192,1324628,973687,9034282,4021049,5848215,
2019-01-10,4377060,1832096,1063647,3589725,3053461,7131028,15340801,16295468,7691540,8265043,2450895,14497154,9108390,8257215,8925160,138524,452699,1454656,70810000,12751327,9572493,10684824,1286641,5748158,1313981,1004783,3672333,823072,4352095,
2019-01-11,3180775,4331368,2489197,2995789,9209862,7665486,13579929,12702551,6408040,4263836,1535995,12537973,8182180,10646495,14139060,248857,488399,1849817,75408240,8330315,12281903,17419014,1829555,5922578,1113837,473391,3778103,1222694,4483554,
2019-01-14,3615252,1956808,3080984,5370460,3615370,6028078,5010679,10372933,4855160,18435523,864306,14844029,10215040,6823475,8994060,198557,424152,1558602,58899170,6856244,19312937,6646635,927301,3674704,1018068,1360800,5784064,736948,3756403,
2019-01-15,1725819,3693892,3079248,11498868,7711653,3680774,14730974,9444374,5087556,40188776,1452136,12960779,14663030,5769355,22011407,298881,491196,2491520,76031810,5467484,19671304,7490965,1965520,5706902,1614600,1355920,4291873,2636801,6557577,
2019-01-16,2188162,1701242,2454470,8515441,2359280,3667241,5679378,12111480,5252452,26390100,1118736,15106484,9525970,11873245,13961606,201711,424769,1922647,52802930,6598151,9658944,8083821,2847403,7705383,2054033,1189597,5879148,1933812,3752082,
2019-01-17,1467807,3690234,1610419,5325531,2625816,5142302,7529166,15974634,8240228,14104487,1303576,13171721,9941830,19672500,16379077,235993,462725,1434040,42819350,10448209,6903771,11009380,4156932,4569576,1941204,853829,8343750,1001551,4817690,
2019-01-18,1589082,4685056,2135781,4366941,1683728,4904282,3100312,9082501,5207976,26911902,1168989,12212121,7537750,12992860,56181172,237908,334555,1888004,49148490,7037386,5902151,11418250,3617922,16359865,3234056,1092189,82906214,963387,4210472,
2019-01-21,1606142,3265418,8813681,4067143,2409803,4087312,13187677,10188647,17561512,41658250,1035360,8908581,13321590,48926830,48206814,279969,654537,2586962,46136900,6157956,8129422,8519267,2563705,8621248,1628067,2513582,48936782,508442,2854706,
2019-01-22,2666389,4791592,2544978,3577455,2457093,4113351,7074433,11297989,8796976,17817926,2797244,14756076,14747130,45363400,36207430,220491,896521,2839669,89577660,7951640,6723375,10727385,3328908,8770625,1776472,5483768,38255365,759111,5006219,
2019-01-23,1441440,5641586,1821323,6173490,2578169,4946218,5323552,10304608,7624288,26499796,1574247,9726450,9925040,16292910,19313542,171340,702474,1965283,72593860,7596006,7212099,41735950,3653992,5617992,2321782,2702265,26921274,1578782,4489030,
2019-01-24,1088512,2954782,1654706,6157088,1962927,3820645,4250377,11532528,10111572,11281453,1246903,17521254,7538560,7298880,28775487,808713,520703,1849102,47908460,7013582,7429783,29105831,3633336,10389592,1350870,1562800,18446490,1013460,3705336,
2019-01-25,1738412,4310008,3136788,3868441,2327080,3871762,5463236,11121223,11262236,13964137,1985833,22978238,9169270,7206480,18703992,1593195,3062762,2528541,41579670,6628922,5543112,9240591,4760625,6040052,1131790,1613548,8720973,995296,5191436,
2019-01-28,2246761,3029930,8004136,7440853,2769033,2910523,7303346,18905470,15360436,18399880,1499181,34362360,23640470,10272960,18744303,1260559,2398091,1804582,43351470,7792690,7944693,9338450,15177384,4546062,1289774,1590764,5809082,1270693,4518237,
2019-01-29,1388542,4733138,3685535,17469350,2557626,7282910,9728281,17435611,14762788,12320260,1411027,20738442,61188330,12957950,20405845,754743,1101399,3100457,52257240,8302420,6760819,7267917,9816333,3210022,1319822,1061762,7472930,995680,4113613,
2019-01-30,3193022,14053348,2385425,12711500,2429575,8511453,13777792,18908654,18514160,19757160,1468812,39400056,38797070,13771160,17164298,303793,583773,2139900,108579250,46912230,5763026,10852162,7672859,6553462,1259978,1313152,4351530,1478483,6941276,
2019-01-31,2469714,9058428,5852257,25774313,4094319,28107358,44034840,25546487,16579404,20517517,2306391,85917249,20834180,14843300,22279301,621043,926270,3253640,92437290,35239544,13825233,15937442,6403921,9493241,1880257,1256050,16672076,2626649,4666551,
2019-02-01,1547424,6460222,2515736,9474849,3064163,5260578,7099405,60015958,15654188,8977608,3424938,25605469,21177680,10945770,20187323,745604,2545419,2260029,50159940,13792059,6276585,19060690,3119675,9243929,2342251,2077539,3950126,1312658,6496209,
2019-02-04,2054061,4133944,2308931,3678667,1590764,9532350,6716304,20642919,7938288,8383256,9556052,17039321,9421130,6896595,25528059,320227,658776,1518373,109720290,8195956,3945391,6289877,4517829,3895812,1116390,735159,3679517,1011716,4804512,
2019-02-05,1710784,2368564,1447400,5500377,1111404,5413425,8526399,13291133,8690288,6550401,7144200,12197271,10108170,9588910,20479210,286515,681498,2446263,72819270,8665426,4694366,10205529,3262960,14678663,1278708,786962,3523707,1174129,4726380,
2019-02-06,1541770,2331000,2034886,4322649,1789812,5075180,12810810,12149759,10875684,5811361,2449722,15396216,17984610,5793705,20586783,341588,567827,14860848,109992650,8077340,5880482,8409442,6687853,5202682,859789,1088914,5638849,1594160,5746435,
2019-02-07,1602553,3251088,1556295,4309303,1339945,6080631,5193513,19733315,7217308,5982481,1293109,10247434,17605800,5992050,20150710,367134,690174,4966655,78573380,7203465,3961797,6177040,4871712,3852519,927434,697412,18187249,2860113,6252085,
2019-02-08,2194466,3733802,2993525,7692145,1684474,4510762,5597162,19781908,12235644,3735809,2576054,9308651,15107850,12407165,14230054,287105,576159,5242725,84145140,7341956,5915169,4575570,2915806,3413931,1222765,1018518,6133747,4007263,5765740,
2019-02-11,1387113,3157886,2981408,7913450,1778730,6424512,13126864,15420017,7036364,7927406,1057548,9419635,11947020,15723375,16457901,206491,502244,2541742,232623140,7234953,5500216,10335615,3783848,3303611,797453,728051,4945054,1185923,5228180,
2019-02-12,1136862,2788882,1571390,11930402,2422903,6816203,14900754,15326106,9772388,7939320,3075801,14924394,12003700,7410050,13998153,266527,494592,2416559,188361110,15856819,7310690,7624089,4496913,2226134,990035,947583,8559968,1192381,12748459,
